,ISRG,AMZN,ARE,IPG,DHR,HOLX,NTAP,HUM,XOM,CCI,WY,TECH,CBRE,STX,MHK,MCK,C,CMI,ETR,A,SW,CFG,RTX,REG,TYL,NOW,FICO,FRT,AKAM,ADP,URI,WMB,CAT,JNJ,MPC,TPR,BF-B,CMCSA,ROL,CDNS,OXY,WRB,HSY,FIS,GLW,CAH,EOG,CCL,DLR,DTE
AKAM,0.00257558653602376,0.030601337552288926,0.0025053914416485273,0.0116524289257496,0.003946463741227595,0.07832791312072489,0.02868548511338491,0.030601337617229676,0.003106290591864576,0.0015134620353623109,0.02340540276458662,0.03170106520461502,0.015274453943234158,0.013433690792600466,0.030601337546957447,0.02475251203874127,0.013823203278981996,0.0020560048148120296,0.20173354981380437,0.011338457994188818,0.030320404416571328,0.059528452179724155,0.0030515804520560557,0.0022923215538551587,0.013936464735438754,0.004450581141983442,0.03060133754375311,0.0055274520950621886,1.0,0.004479502013305945,0.00643412925639903,0.08698330887239827,0.0035382340966956245,0.004194437399872429,0.03508257765371758,0.10175220224472507,0.02763594088373333,0.009683053276257092,0.05868581335546678,0.016156082979925403,0.002257260576473059,0.013552083109023805,0.08698533250465215,0.0066590089292916385,0.011841018151582065,0.0020985179895278328,0.0032201524783423987,0.0012702367916697609,0.010684983891472993,0.04275456676779509
ADP,0.299771772176089,0.011944648591309386,0.6397067437338687,0.31978080273650505,0.5657629302628108,0.0017979196680713377,0.05185226343783151,0.0016011545646746135,0.3810735997901844,0.42191092171476385,0.2325240240157957,0.10751890299771888,0.17542239844965354,0.18959337815108918,0.028616998629801903,0.13568720375282436,0.23346918901657998,0.5909055021250043,0.009653749938043733,0.5015908250338085,0.01617311760919245,0.06657383802879438,0.6240280002959879,0.49637908177028156,0.26741750584117324,0.27612252446771596,0.02932460251399651,0.42997264845756966,0.004479502013305945,1.0,0.28729719239555657,0.016780878407937416,0.2542895642136934,0.5828599768577448,0.10330537159768663,0.031959160421833985,0.08017857649829582,0.34346405019902576,0.01026627929147986,0.283465690236078,0.5346749251065621,0.4910175039035047,0.00392913619854673,0.24269332340036226,0.2667880467456701,0.3946410248044863,0.5609235630999054,0.29802624335215105,0.3080970819318795,0.07561084202934026
URI,0.3618052562536597,0.003933307025978046,0.21906094426878367,0.2665368321568033,0.3354041505981903,0.0004572094510428861,0.027505513551232774,0.0005574382114342545,0.43746337884239606,0.273535215487067,0.13509281007592167,0.21285928101558105,0.05624502530846324,0.17254457201585285,0.03507985107275704,0.23055187270646488,0.3517556859658187,0.22238177702625447,0.019750093165173583,0.26338465082859586,0.00821277036998084,0.0752651052459626,0.25511645624468915,0.1708733127614767,0.17111482519442622,0.3052746142205631,0.012944306900592518,0.35837190523989443,0.00643412925639903,0.28729719239555657,1.0,0.021876557365496988,0.3564962051229074,0.294614719729108,0.10164049583390417,0.05325440996739172,0.08256274063250063,0.30654421834803763,0.011035041633654704,0.16099710981595228,0.21574245998143624,0.38989660363742806,0.006538125951433774,0.360376324844087,0.181375358862167,0.20517396482101521,0.2525963365701727,0.2919636265490148,0.275156652057908,0.16166422176123385
WMB,0.013917348248299979,0.06823990833423729,0.005891109663865972,0.027267031158044398,0.013493745611718835,0.05581289545679056,0.03687890363212347,0.05219801976769869,0.008936558069883438,0.00793423074296743,0.026681633536533713,0.06635030218495902,0.0320977513235071,0.041821104229266014,0.08745995292559015,0.15570493222732684,0.03781123820756637,0.0046837349445478845,0.0685882093510638,0.03125407955923546,0.23693735502495494,0.04369791301065539,0.012821352396441638,0.004512917823935305,0.04934719091979817,0.024711216195936678,0.043714043622605385,0.039070507870387815,0.08698330887239827,0.016780878407937416,0.021876557365496988,1.0,0.021926628005280318,0.010812367263992758,0.023759698308942263,0.06203340020325684,0.03610265944479786,0.04462156231833955,0.034363748534331766,0.03235587737564018,0.005598013373558351,0.028467775779914863,0.06393316983616082,0.027428394348087266,0.018077183400074345,0.01508427589733705,0.015216316023206371,0.005087021016026412,0.03364724364202405,0.09727217094591856
CAT,0.33933133959475653,0.004473242876023425,0.2205935432150328,0.2831068137763925,0.23049796280002946,0.00048238853981770723,0.030051127030707232,0.0007469415034568569,0.4498638477732508,0.43941647585674637,0.2619350857298871,0.28258837327471326,0.08001049934859682,0.21843496335467735,0.024337925624287642,0.17576498310197555,0.29656769536064836,0.21756067155228434,0.010093049571960855,0.2094253165666039,0.010297677998114724,0.07837086605231215,0.3421863188215297,0.19473494111533138,0.23406957820958496,0.40192715190571116,0.012983883399878104,0.2698749326765523,0.0035382340966956245,0.2542895642136934,0.3564962051229074,0.021926628005280318,1.0,0.18559935784783374,0.08376612466070125,0.063229085970476,0.08232007488258461,0.46364644307770847,0.003554517093858208,0.16828963742328948,0.19475544905126133,0.27039083871551617,0.005375908027134713,0.3315082982454782,0.2557763203325627,0.35419120386653735,0.27559041246015387,0.33423712376069453,0.45330757400894195,0.13727398661695875
JNJ,0.4069148092177339,0.025481159581934684,0.6950505711771533,0.19745740095325745,0.8260602899833932,0.0036136853692485477,0.047776435301037194,0.0033168765802270538,0.3955739350824965,0.272797533662305,0.17700745330015447,0.0819842543848329,0.17200019721214072,0.10935817872336372,0.024971092073651533,0.11316414852615293,0.2557486459098205,0.6289853345187884,0.011861010759330834,0.4708340326628626,0.0210958411080974,0.07092625298627252,0.5870514595498196,0.47983885347390554,0.15157412524584563,0.17875605428896196,0.03588009616541696,0.3334341648872924,0.004194437399872429,0.5828599768577448,0.294614719729108,0.010812367263992758,0.18559935784783374,1.0,0.1978926670209697,0.03583586396449112,0.05266947283669223,0.3497508660708053,0.022412853792981607,0.21155541995096047,0.6347477567922594,0.6823031928157051,0.004942269445195744,0.2522976946190613,0.20175985360646126,0.3662201147409533,0.5134209368445819,0.25635938783026724,0.31037940680286563,0.07996550589850641
MPC,0.16017349679765824,0.02726223488869905,0.17273533314483983,0.09130627258922853,0.19325998656062157,0.009237270641345616,0.11130056908055821,0.01191059599737109,0.13426904796382252,0.05182918012166602,0.12343722890998818,0.14163084129198966,0.084578871286894,0.11972348890091085,0.1413689935943366,0.08995177631686674,0.16827476677563774,0.11957453468666733,0.12014777815539045,0.11694864555055856,0.015029083676687899,0.1392684902121062,0.16036099982435822,0.10760357046295849,0.09470445076047708,0.0746579640563911,0.0371610792853584,0.08308146226241866,0.03508257765371758,0.10330537159768663,0.10164049583390417,0.023759698308942263,0.08376612466070125,0.1978926670209697,1.0,0.10774952668787868,0.14814104934357175,0.17043882121960813,0.034060238072559285,0.24395678474551297,0.17972467418774735,0.3607940048194088,0.04794127900031995,0.15725336711221966,0.11037487249226079,0.10819145593073665,0.08106467234440991,0.07421470688526015,0.11388459606332146,0.13285952955234073
TPR,0.016633546295523816,0.011932553144160878,0.026168965469932724,0.08622097225889601,0.03568112060856787,0.014075826696682598,0.08378153847387514,0.011788309243036312,0.049138492937807914,0.017296628471759945,0.07743586503597734,0.07474707174805544,0.06155932892327116,0.0918614095355054,0.08058303661736343,0.04257289602339123,0.15726191963192698,0.033338653835727296,0.12136847712225726,0.05467735910974497,0.03032040437028935,0.15226461608972325,0.034218284508392434,0.037823220987177025,0.10383747443359295,0.0312135395186904,0.03679022134065349,0.06942951280119604,0.10175220224472507,0.031959160421833985,0.05325440996739172,0.06203340020325684,0.063229085970476,0.03583586396449112,0.10774952668787868,1.0,0.07439802865441096,0.05308427222585324,0.04025678796963152,0.05681639797840263,0.03082614471093734,0.0600304450553799,0.10669869637586141,0.06943891695060532,0.08806982119047362,0.046914371621093395,0.02518176697333729,0.01499365642145683,0.06442883903288546,0.10016384766205003
BF-B,0.06274409233616342,0.005775013685614264,0.05081131261179104,0.15052548508971594,0.06608358360065955,0.002410615184582813,0.15052548513869754,0.0014987644980415772,0.10956893026446292,0.058734741388483974,0.12808769998574435,0.23591742547206182,0.05571263199706141,0.1636916312400068,0.078754737028607,0.21698388259914156,0.14833143980974153,0.05164393433171434,0.08035468578941313,0.09169424295550051,0.008268112675576497,0.11958513901422685,0.07175049490499488,0.04690757624612836,0.21064321088953064,0.11087345630653855,0.011138904916121403,0.10677389163774012,0.02763594088373333,0.08017857649829582,0.08256274063250063,0.03610265944479786,0.08232007488258461,0.05266947283669223,0.14814104934357175,0.07439802865441096,1.0,0.1075172807012118,0.00894268902123546,0.20381394588818283,0.040347183824422816,0.11063181273864837,0.033394733939563874,0.16383894562858062,0.0980023690560509,0.06880535584569467,0.07715840547315832,0.09005794178800546,0.1404459123231529,0.18026504252926037
CMCSA,0.3707525610765008,0.022964886599386128,0.3191132589604912,0.24437215183299701,0.3614925764705493,0.0032146405756697206,0.031854140581907914,0.0033195118723054963,0.4198703625454633,0.291303964576656,0.21346924794360692,0.18767389068874904,0.08576537566422697,0.14178858999583094,0.0366396625491619,0.2514830465106903,0.21762024364697846,0.2685303833248592,0.018813604800928307,0.2629869266740992,0.033073719142388,0.0754910801879407,0.3552594159113847,0.1804735325310359,0.2159593977055549,0.3119295648843508,0.04201829196278266,0.2591587660530264,0.009683053276257092,0.34346405019902576,0.30654421834803763,0.04462156231833955,0.46364644307770847,0.3497508660708053,0.17043882121960813,0.05308427222585324,0.1075172807012118,1.0,0.017485754930512586,0.19400556292614024,0.22596165990597195,0.4486525816957576,0.009086452114114617,0.2937152465699058,0.18486238500473856,0.3268898096309036,0.33036284219424694,0.2550660208511246,0.3670932331578102,0.16593009023945676
ROL,0.006553433949701557,0.23401216377925232,0.004379803676228131,0.0074948889553030805,0.0230818239714718,0.15670062149154426,0.040127015660369456,0.14472744457754452,0.007254147282456149,0.000758058255151755,0.01608182871762674,0.010308145280667992,0.05836527017684248,0.009942525457157453,0.030461034969743794,0.024175524190392903,0.01053958246826199,0.004851477554704752,0.03150187061128566,0.020591450137219705,0.18268541758730952,0.010034690342759205,0.006395049539930957,0.00778034280376142,0.03234627573522795,0.0037284393452786777,0.042119368401217244,0.009077017247276995,0.05868581335546678,0.01026627929147986,0.011035041633654704,0.034363748534331766,0.003554517093858208,0.022412853792981607,0.034060238072559285,0.04025678796963152,0.00894268902123546,0.017485754930512586,1.0,0.015665042922772356,0.0058030472417781,0.029464054861160757,0.061728705444247293,0.009790929258608971,0.01910448343228852,0.007143201651741016,0.009865805173935817,0.00279183537122414,0.012388012723236412,0.010819152039266797
