#,Company,Symbol,Weight,Price,Chg,% Chg
364,Insulet Corporation,PODD,0.04%,308.89,-1.94,(-0.63%)
365,Ralph Lauren Corporation,RL,0.04%,358.17,-7.71,(-2.11%)
366,PTC Inc.,PTC,0.03%,177.34,2.46,(1.41%)
367,Williams-Sonoma,WSM,0.03%,176.72,-5.72,(-3.14%)
368,"NVR, Inc.",NVR,0.03%,7620.19,103.1,(1.37%)
369,Corpay,CPAY,0.03%,296.88,0.61,(0.20%)
370,ON Semiconductor,ON,0.03%,51.42,0.99,(1.96%)
371,Quest Diagnostics,DGX,0.03%,183.21,-0.56,(-0.30%)
372,Darden Restaurants,DRI,0.03%,174.59,0.65,(0.37%)
373,Tyson Foods,TSN,0.03%,57.31,-0.99,(-1.70%)
374,Coterra,CTRA,0.03%,26.56,-0.39,(-1.47%)
375,KeyCorp,KEY,0.03%,18.41,-0.21,(-1.15%)
376,NiSource,NI,0.03%,42.37,-0.63,(-1.47%)
377,Church & Dwight,CHD,0.03%,83.34,-1.24,(-1.47%)
378,Tyler Technologies,TYL,0.03%,464.52,-1.03,(-0.22%)
379,SBA Communications,SBAC,0.03%,187.18,-1.39,(-0.74%)
380,International Paper,IP,0.03%,37.77,-1.42,(-3.63%)
381,Supermicro,SMCI,0.03%,33.29,-0.13,(-0.37%)
382,Incyte,INCY,0.03%,101.2,-0.84,(-0.82%)
383,Texas Pacific Land Corporation,TPL,0.03%,858.59,4.85,(0.57%)
384,West Pharmaceutical Services,WST,0.03%,273.5,-0.64,(-0.24%)
385,Expeditors International,EXPD,0.03%,146.69,0.24,(0.16%)
386,"The Trade Desk, Inc.",TTD,0.03%,40.35,0.77,(1.94%)
387,Trimble Inc.,TRMB,0.03%,81.77,0.1,(0.12%)
388,Amcor,AMCR,0.03%,8.36,-0.18,(-2.17%)
389,Centene Corporation,CNC,0.03%,38.83,0.94,(2.49%)
390,C.H. Robinson,CHRW,0.03%,159.89,-0.43,(-0.27%)
391,CDW,CDW,0.03%,144.31,1.28,(0.89%)
392,Zimmer Biomet,ZBH,0.03%,94.23,-0.53,(-0.56%)
393,Global Payments,GPN,0.03%,78.44,2.2,(2.89%)
394,Bunge Global,BG,0.03%,95.92,-0.5,(-0.52%)
395,Principal Financial Group,PFG,0.03%,84.35,-0.11,(-0.12%)
396,Southwest Airlines,LUV,0.03%,35.56,0.79,(2.27%)
397,Genuine Parts Company,GPC,0.03%,128.98,-0.97,(-0.75%)
